,Immoweb ID,Property type,property sub-type,Price,Post code,Building condition,Kitchen type,Bedrooms,Furnished,Terrace surface,Tenement building,Number of frontages,Swimming pool,How many fireplaces?,Garden,Garden orientation,Garden surface,Terrace,Surface of the plot
7762,9696867,HOUSE,VILLA,699000.0,1653,,Hyper equipped,3.0,No,,No,4.0,No,,,,,Yes,1567.0
7763,9620908,HOUSE,VILLA,775000.0,1600,,Installed,5.0,No,50.0,No,4.0,,,,North East,700.0,,909.0
7764,9564971,HOUSE,VILLA,800000.0,4053,As new,Hyper equipped,4.0,,,No,4.0,Yes,,,,,Yes,1541.0
7765,9663750,HOUSE,VILLA,845000.0,2300,Good,,8.0,No,,No,4.0,,,Yes,South,,,2923.0
7766,9694636,HOUSE,VILLA,885000.0,3000,As new,Hyper equipped,4.0,,22.0,No,4.0,,,,,,,695.0
7767,9318076,HOUSE,VILLA,999999.0,9990,,,5.0,,,No,,No,1.0,Yes,South,,Yes,2310.0
7768,9553332,HOUSE,VILLA,1595000.0,3191,As new,USA hyper equipped,4.0,,,No,4.0,Yes,,,,,Yes,3278.0
7769,8920349,HOUSE,VILLA,2395000.0,2360,As new,,7.0,No,,No,4.0,No,,Yes,South East,,,2013.0
7770,9711557,HOUSE,VILLA,499000.0,9031,To renovate,,4.0,No,,No,4.0,,,,North East,1577.0,,1577.0
7771,9595692,HOUSE,VILLA,275000.0,7060,,Installed,4.0,No,,No,4.0,,,,,,,707.0
7772,9298230,HOUSE,VILLA,320000.0,4950,As new,Hyper equipped,4.0,No,,No,4.0,,,,,680.0,,760.0
7773,9470229,HOUSE,VILLA,349500.0,7060,,Installed,4.0,No,15.0,No,4.0,,,,South East,697.0,,817.0
7774,9611265,HOUSE,VILLA,350000.0,7850,Good,,2.0,,,No,4.0,,,,,,Yes,3967.0
7775,9451156,HOUSE,VILLA,375000.0,7020,,Installed,5.0,No,,No,,No,,,,,Yes,2875.0
7776,9651866,HOUSE,VILLA,389000.0,1760,,,4.0,No,,No,4.0,No,,,,,Yes,1308.0
7777,9635415,HOUSE,VILLA,390000.0,7063,,Installed,2.0,No,15.0,No,4.0,,,,South,840.0,,960.0
7779,9697556,HOUSE,VILLA,449000.0,4052,,,5.0,No,,No,4.0,No,,,,,Yes,1145.0
7780,9453713,HOUSE,VILLA,535000.0,1500,Good,USA hyper equipped,3.0,,,No,4.0,,,,,,Yes,
7781,9442828,HOUSE,VILLA,549500.0,7060,,Installed,5.0,No,28.0,No,4.0,,,,,1325.0,,1571.0
7782,9324043,HOUSE,VILLA,745000.0,1420,,,4.0,No,,No,4.0,,,,,,,2457.0
7783,9676448,HOUSE,VILLA,1595000.0,2970,Good,Installed,4.0,No,,No,4.0,No,,,South East,2825.0,,2825.0
7784,9722214,HOUSE,VILLA,285000.0,6010,Good,Semi equipped,5.0,No,,No,4.0,,,,,2000.0,Yes,2000.0
7785,9252190,HOUSE,VILLA,40000.0,6250,Good,,3.0,No,,No,4.0,,,,,,,950.0
7786,9493462,HOUSE,VILLA,335000.0,7011,As new,Hyper equipped,4.0,No,80.0,No,4.0,No,,,,430.0,,820.0
7787,9382537,HOUSE,VILLA,449000.0,2350,Good,Installed,6.0,,34.0,No,3.0,,,,,60.0,,310.0
7788,9535695,HOUSE,VILLA,550000.0,2400,Good,,5.0,No,,No,4.0,,,,,,,1200.0
7789,9659448,HOUSE,VILLA,630000.0,4140,As new,Installed,4.0,,60.0,No,4.0,,,,,,,1356.0
7790,9480987,HOUSE,VILLA,679000.0,3920,Good,Installed,5.0,No,,No,4.0,Yes,1.0,Yes,East,,Yes,732.0
7791,9532811,HOUSE,VILLA,1449000.0,9880,As new,,3.0,No,,No,4.0,,,Yes,South West,,,2240.0
7792,9611611,HOUSE,VILLA,1750000.0,2470,As new,,4.0,No,,No,4.0,Yes,1.0,Yes,North,,,3022.0
7793,9716739,HOUSE,VILLA,485000.0,8501,,,4.0,No,,No,,,,,,,,
7794,9722848,HOUSE,VILLA,795000.0,1380,Good,Hyper equipped,4.0,,,,4.0,,1.0,Yes,South West,,Yes,3750.0
7795,9591634,HOUSE,VILLA,249000.0,7100,Good,Installed,3.0,,40.0,No,4.0,No,,,,85.0,,359.0
7796,9593551,HOUSE,VILLA,249000.0,7170,Good,Installed,3.0,,40.0,No,4.0,No,,,,85.0,,359.0
7797,9422632,HOUSE,VILLA,299000.0,9600,To renovate,,2.0,,,No,,Yes,,Yes,South,,Yes,2052.0
7798,9683711,HOUSE,VILLA,320000.0,9550,To renovate,Installed,3.0,,,,4.0,,,,,,,401.0
7799,9703143,HOUSE,VILLA,725000.0,3581,,Installed,4.0,No,,No,4.0,No,,Yes,North East,,,1815.0
7800,9692963,HOUSE,VILLA,985000.0,2970,,,5.0,No,,No,4.0,,,,North West,2000.0,,2000.0
7801,9362003,HOUSE,VILLA,1095000.0,2970,,,5.0,No,,No,4.0,,,,South,3980.0,,3980.0
7802,9490842,HOUSE,VILLA,1250000.0,2970,,,5.0,No,,No,,No,,,South West,5126.0,,5126.0
7804,9711205,HOUSE,VILLA,235000.0,7700,To renovate,Not installed,2.0,No,,No,4.0,,,,,388.0,,507.0
7805,9699624,HOUSE,VILLA,251600.0,7540,As new,Not installed,3.0,,,,4.0,,,,,,Yes,5352.0
7806,9510154,HOUSE,VILLA,359000.0,4340,,,6.0,No,40.0,No,4.0,,,,,1000.0,,1242.0
7807,9683490,HOUSE,VILLA,260000.0,6240,Good,USA semi equipped,3.0,No,,No,4.0,,,,,1177.0,,1427.0
7808,9586918,HOUSE,VILLA,315000.0,6120,Good,USA hyper equipped,3.0,No,,No,4.0,,,,,,Yes,529.0
7809,9590056,HOUSE,VILLA,379000.0,1457,,Semi equipped,3.0,No,,No,4.0,,1.0,Yes,South West,,Yes,1680.0
7810,9681839,HOUSE,VILLA,429000.0,2288,,Installed,5.0,No,24.0,No,4.0,No,,,West,650.0,,1200.0
7811,9619654,HOUSE,VILLA,440000.0,5190,As new,,4.0,No,,No,4.0,,,,,,,1000.0
7812,9685756,HOUSE,VILLA,495000.0,2235,Good,,4.0,No,,No,4.0,,,,,,,1270.0
7813,9453712,HOUSE,VILLA,535000.0,1501,Good,USA hyper equipped,3.0,,,No,4.0,,,,,,Yes,
